epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.4845260977745056,421.08245849609375,0.4845260977745056,0.48403844237327576,0.4893617033958435,0.7104515433311462,0.4893617033958435,0.49000000953674316
1,0.4709864556789398,0.8891438841819763,0.4709864556789398,0.4717307686805725,0.5106382966041565,1.2506577968597412,0.5106382966041565,0.5100000500679016
2,0.4980657696723938,0.7015814781188965,0.4980657696723938,0.4975000321865082,0.5106382966041565,0.693036675453186,0.5106382966041565,0.5100000500679016
3,0.5106382966041565,0.6931512355804443,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.6930043697357178,0.5106382966041565,0.5100000500679016
4,0.5019342303276062,0.695387601852417,0.5019342303276062,0.5013461709022522,0.5106382966041565,0.6930242776870728,0.5106382966041565,0.5100000500679016
5,0.4922630488872528,0.6931855082511902,0.4922630488872528,0.4917307496070862,0.5106382966041565,0.6929826736450195,0.5106382966041565,0.5100000500679016
6,0.5106382966041565,0.6930121183395386,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.6929224133491516,0.5106382966041565,0.5100000500679016
7,0.5106382966041565,0.692970335483551,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.6929288506507874,0.5106382966041565,0.5100000500679016
8,0.5106382966041565,0.6930645704269409,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.6929453015327454,0.5106382966041565,0.5100000500679016
9,0.5106382966041565,0.6930390000343323,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.69292813539505,0.5106382966041565,0.5100000500679016
10,0.5106382966041565,0.6930029392242432,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.6929423213005066,0.5106382966041565,0.5100000500679016
11,0.5106382966041565,0.6930536031723022,0.5106382966041565,0.5100000500679016,0.5106382966041565,0.6929327845573425,0.5106382966041565,0.5100000500679016
