epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7882011532783508,0.6831114292144775,0.7882011532783508,0.7888461947441101,0.8829787373542786,0.6754403710365295,0.8829787373542786,0.8836538195610046
1,0.8907156586647034,0.6686609387397766,0.8907156586647034,0.8913461565971375,0.914893627166748,0.6612858176231384,0.914893627166748,0.9153845906257629
2,0.9216634631156921,0.6546446084976196,0.9216634631156921,0.9221153855323792,0.9352030754089355,0.6474053859710693,0.9352030754089355,0.9355769157409668
3,0.9352030754089355,0.6410419344902039,0.9352030754089355,0.9355769157409668,0.9410058259963989,0.6338854432106018,0.9410058259963989,0.9413461685180664
4,0.9439071416854858,0.627793550491333,0.9439071416854858,0.9442307949066162,0.9439071416854858,0.6209067106246948,0.9439071416854858,0.9442307949066162
5,0.945841372013092,0.614935576915741,0.945841372013092,0.9461538195610046,0.9506769776344299,0.6083050966262817,0.9506769776344299,0.9509615302085876
6,0.9497098922729492,0.6024286150932312,0.9497098922729492,0.949999988079071,0.9487427473068237,0.5959426164627075,0.9487427473068237,0.9490384459495544
7,0.9487427473068237,0.5903255343437195,0.9487427473068237,0.9490384459495544,0.9516441226005554,0.5840061902999878,0.9516441226005554,0.9519230723381042
8,0.9497098922729492,0.5786093473434448,0.9497098922729492,0.949999988079071,0.9506769776344299,0.572428286075592,0.9506769776344299,0.9509615302085876
9,0.9516441226005554,0.567161500453949,0.9516441226005554,0.9519230723381042,0.9526112079620361,0.5611928701400757,0.9526112079620361,0.9528846144676208
10,0.9526112079620361,0.5560595393180847,0.9526112079620361,0.9528846144676208,0.9535783529281616,0.5502927899360657,0.9535783529281616,0.9538461565971375
11,0.9526112079620361,0.5452707409858704,0.9526112079620361,0.9528846144676208,0.9535783529281616,0.5396518111228943,0.9535783529281616,0.9538461565971375
12,0.9535783529281616,0.5348358154296875,0.9535783529281616,0.9538461565971375,0.9535783529281616,0.5292856097221375,0.9535783529281616,0.9538461565971375
13,0.9535783529281616,0.5246267318725586,0.9535783529281616,0.9538461565971375,0.9545454382896423,0.5192350149154663,0.9545454382896423,0.954807698726654
14,0.9545454382896423,0.5147157311439514,0.9545454382896423,0.954807698726654,0.9545454382896423,0.5094851851463318,0.9545454382896423,0.954807698726654
15,0.9555125832557678,0.5050857663154602,0.9555125832557678,0.9557692408561707,0.9564796686172485,0.5000590682029724,0.9564796686172485,0.9567307829856873
16,0.9564796686172485,0.4957595467567444,0.9564796686172485,0.9567307829856873,0.9564796686172485,0.49087628722190857,0.9564796686172485,0.9567307829856873
17,0.9555125832557678,0.4866400361061096,0.9555125832557678,0.9557692408561707,0.9555125832557678,0.4819224178791046,0.9555125832557678,0.9557692408561707
18,0.9545454382896423,0.4777916371822357,0.9545454382896423,0.954807698726654,0.9545454382896423,0.4731082022190094,0.9545454382896423,0.954807698726654
19,0.9545454382896423,0.46922120451927185,0.9545454382896423,0.954807698726654,0.9545454382896423,0.46475058794021606,0.9545454382896423,0.954807698726654
